,Unnamed: 0,id,created,modified,make,model,variant,idv_id,mmv_name
0,0,4,2019-04-10 11:41:36.340817+00,2019-04-10 11:41:36.340824+00,aston martin,dbs,coupe,1,aston martindbscoupe
1,1,5,2019-04-10 11:41:36.373378+00,2019-04-10 11:41:36.373398+00,aston martin,dbs,volante,2,aston martindbsvolante
2,2,6,2019-04-10 11:41:36.395663+00,2019-04-10 11:41:36.395684+00,audi,a4,1.8 tfsi,3,audia41.8 tfsi
3,3,7,2019-04-10 11:41:36.420595+00,2019-04-10 11:41:36.420617+00,audi,a4,2.0 tdi (143bhp),4,audia42.0 tdi (143bhp)
4,4,8,2019-04-10 11:41:36.457857+00,2019-04-10 11:41:36.457877+00,audi,a4,2.0 tfsi,5,audia42.0 tfsi
5,5,9,2019-04-10 11:41:36.48693+00,2019-04-10 11:41:36.48695+00,audi,a4,3.0 tdi quattro,6,audia43.0 tdi quattro
6,6,10,2019-04-10 11:41:36.512953+00,2019-04-10 11:41:36.512973+00,audi,a4,3.2 fsi quattro,7,audia43.2 fsi quattro
7,7,11,2019-04-10 11:41:36.759783+00,2019-04-10 11:41:36.759806+00,audi,a4,s4 3.0 tfsi quattro,8,audia4s4 3.0 tfsi quattro
8,8,12,2019-04-10 11:41:36.788715+00,2019-04-10 11:41:36.78874+00,audi,a6,2.7 tdi,9,audia62.7 tdi
9,9,13,2019-04-10 11:41:36.810445+00,2019-04-10 11:41:36.810466+00,audi,a6,2.8 fsi,10,audia62.8 fsi
10,10,14,2019-04-10 11:41:36.837828+00,2019-04-10 11:41:36.837849+00,audi,a6,3.0 i multitronic,11,audia63.0 i multitronic
11,11,15,2019-04-10 11:41:36.885651+00,2019-04-10 11:41:36.885706+00,audi,a6,3.0 tdi quattro,12,audia63.0 tdi quattro
12,12,16,2019-04-10 11:41:36.909524+00,2019-04-10 11:41:36.909545+00,audi,a6,3.0 tfsi quattro,13,audia63.0 tfsi quattro
13,13,17,2019-04-10 11:41:36.970063+00,2019-04-10 11:41:36.970084+00,audi,a6,3.2 fsi quattro,14,audia63.2 fsi quattro
14,14,18,2019-04-10 11:41:37.016546+00,2019-04-10 11:41:37.016566+00,audi,a8 l,3.0 tdi quattro,15,audia8 l3.0 tdi quattro
15,15,19,2019-04-10 11:41:37.036993+00,2019-04-10 11:41:37.037014+00,audi,a8 l,4.2 fsi quattro,16,audia8 l4.2 fsi quattro
16,16,20,2019-04-10 11:41:37.061661+00,2019-04-10 11:41:37.061705+00,audi,a8 l,6.0 w12 quattro,17,audia8 l6.0 w12 quattro
17,17,21,2019-04-10 11:41:37.085094+00,2019-04-10 11:41:37.085114+00,audi,a8 l,l 4.0 tfsi quattro,18,audia8 ll 4.0 tfsi quattro
18,18,22,2019-04-10 11:41:37.116285+00,2019-04-10 11:41:37.116306+00,audi,a8 l,security,19,audia8 lsecurity
19,19,23,2019-04-10 11:41:37.149545+00,2019-04-10 11:41:37.149564+00,audi,q5,2.0 tdi,20,audiq52.0 tdi
20,20,24,2019-04-10 11:41:37.185485+00,2019-04-10 11:41:37.185506+00,audi,q5,2.0 tdi business edi,21,audiq52.0 tdi business edi
21,21,25,2019-04-10 11:41:37.208833+00,2019-04-10 11:41:37.208847+00,audi,q5,2.0 tdi quattro,22,audiq52.0 tdi quattro
22,22,26,2019-04-10 11:41:37.23902+00,2019-04-10 11:41:37.239041+00,audi,q5,2.0 tfsi quattro,23,audiq52.0 tfsi quattro
23,23,27,2019-04-10 11:41:37.283487+00,2019-04-10 11:41:37.2835+00,audi,q5,3.0 tdi quattro,24,audiq53.0 tdi quattro
24,24,28,2019-04-10 11:41:37.310681+00,2019-04-10 11:41:37.310692+00,audi,q7,3.0 tdi quattro,25,audiq73.0 tdi quattro
25,25,29,2019-04-10 11:41:37.328392+00,2019-04-10 11:41:37.328404+00,audi,q7,3.6 fsi quattro,26,audiq73.6 fsi quattro
26,26,30,2019-04-10 11:41:37.353134+00,2019-04-10 11:41:37.353145+00,audi,q7,4.2 fsi quattro,27,audiq74.2 fsi quattro
27,27,31,2019-04-10 11:41:37.406516+00,2019-04-10 11:41:37.40654+00,audi,s8,5.2 v10,28,audis85.2 v10
