Popularity Index,MMV,Make,Model
6,chevroletaveo u-va1.2,CHEVROLET,AVEO U-VA
6,chevroletaveo u-vals 1.2,CHEVROLET,AVEO U-VA
6,chevroletaveo u-vals 1.2 techno,CHEVROLET,AVEO U-VA
6,chevroletaveo u-valt 1.2,CHEVROLET,AVEO U-VA
6,chevroletaveo u-valt 1.2 abs,CHEVROLET,AVEO U-VA
6,chevroletaveo u-valt 1.2 abs & airbag,CHEVROLET,AVEO U-VA
6,chevroletaveo1.4,CHEVROLET,AVEO
6,chevroletaveocng 1.4,CHEVROLET,AVEO
6,chevroletaveoe 1.4,CHEVROLET,AVEO
6,chevroletaveols 1.4,CHEVROLET,AVEO
6,chevroletaveols 1.4 ltd,CHEVROLET,AVEO
6,chevroletaveolt 1.4,CHEVROLET,AVEO
6,chevroletaveolt 1.4 abs,CHEVROLET,AVEO
6,chevroletaveolt 1.6,CHEVROLET,AVEO
6,chevroletaveolt 1.6 abs,CHEVROLET,AVEO
6,chevroletaveolt 1.6 o,CHEVROLET,AVEO
5,chevroletbeat1.0 tcdi,CHEVROLET,BEAT
5,chevroletbeatls petrol,CHEVROLET,BEAT
5,chevroletbeatlt o petrol,CHEVROLET,BEAT
5,chevroletbeatlt petrol,CHEVROLET,BEAT
5,chevroletbeatps petrol,CHEVROLET,BEAT
6,chevroletcaptivalt,CHEVROLET,CAPTIVA
6,chevroletcaptivaltz awd at,CHEVROLET,CAPTIVA
6,chevroletcaptivaltz awd xtreme,CHEVROLET,CAPTIVA
6,chevroletcruzelt,CHEVROLET,CRUZE
6,chevroletcruzeltz,CHEVROLET,CRUZE
6,chevroletcruzeltz at,CHEVROLET,CRUZE
6,chevroletoptra magnumls 1.6,CHEVROLET,OPTRA MAGNUM
6,chevroletoptra magnumls 2.0 tcdi,CHEVROLET,OPTRA MAGNUM
6,chevroletoptra magnumlt 1.6,CHEVROLET,OPTRA MAGNUM
6,chevroletoptra magnumlt 2.0 tcdi,CHEVROLET,OPTRA MAGNUM
6,chevroletoptra magnummax 1.6,CHEVROLET,OPTRA MAGNUM
6,chevroletoptra magnummax 2.0 tcdi,CHEVROLET,OPTRA MAGNUM
6,chevroletoptra srv1.6,CHEVROLET,OPTRA SRV
6,chevroletoptra srv1.6 o,CHEVROLET,OPTRA SRV
6,chevroletoptra srv2.0 tcdi,CHEVROLET,OPTRA SRV
6,chevroletspark1.0 bs-iv obdii,CHEVROLET,SPARK
6,chevroletsparke 1.0,CHEVROLET,SPARK
6,chevroletsparkls 1.0 bs-iv obdii,CHEVROLET,SPARK
6,chevroletsparkls 1.0 lpg,CHEVROLET,SPARK
6,chevroletsparkls 1.0 muzic,CHEVROLET,SPARK
6,chevroletsparklt 1.0 airbag,CHEVROLET,SPARK
6,chevroletsparklt 1.0 bs-iv obdii,CHEVROLET,SPARK
6,chevroletsparklt 1.0 o,CHEVROLET,SPARK
6,chevroletsparkps 1.0,CHEVROLET,SPARK
6,chevroletsparkps 1.0 lpg,CHEVROLET,SPARK
6,chevrolettaverab1 10 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverab1 7 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverab2 8 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverals b3 10 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverals b3 7 str bs iii,CHEVROLET,TAVERA
6,chevrolettaveralt l1 7 str bs iii,CHEVROLET,TAVERA
6,chevrolettaveralt l1 9 str bs iii,CHEVROLET,TAVERA
6,chevrolettaveralt l2 bs iii,CHEVROLET,TAVERA
6,chevrolettaverany b1 10 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverany b1 7 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverany b2 10 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverany b2 7 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverany elite ls b3 10 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverany elite ls b3 7 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverany elite lt l1 7 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverany elite lt l1 9 str bs iii,CHEVROLET,TAVERA
6,chevrolettaverany elite lt l2 bs iii,CHEVROLET,TAVERA
6,chevrolettaverany elite ss d1 bs iii,CHEVROLET,TAVERA
6,chevrolettaverass d1 bs iii,CHEVROLET,TAVERA
6,fiat500lounge,FIAT,500
6,fiat500sport,FIAT,500
