,max_price,min_price,negotiation,margin,popularity_index,percent
0,199999,0,6.51,8.0,0,14.51
1,299999,200000,6.49,7.5,0,13.99
2,399999,300000,6.48,7.0,0,13.48
3,499999,400000,6.72,8.0,0,14.719999999999999
4,599999,500000,6.71,8.0,0,14.71
5,699999,600000,6.69,8.5,0,15.190000000000001
6,799999,700000,6.68,8.5,0,15.18
7,899999,800000,6.6,8.5,0,15.1
8,999999,900000,6.6,8.5,0,15.1
9,1199999,1000000,7.08,8.0,0,15.08
10,1399999,1200000,7.07,9.0,0,16.07
11,1599999,1400000,7.56,8.5,0,16.06
12,1899999,1600000,7.55,8.0,0,15.55
13,2399999,1900000,7.54,8.0,0,15.54
14,3000000,2400000,8.04,7.0,0,15.04
15,199999,0,7.1,9.0,1,16.1
16,299999,200000,7.08,8.0,1,15.08
17,399999,300000,7.07,8.0,1,15.07
18,499999,400000,7.3,8.75,1,16.05
19,599999,500000,7.29,8.75,1,16.04
20,699999,600000,7.28,9.0,1,16.28
21,799999,700000,7.27,9.0,1,16.27
22,899999,800000,7.27,9.0,1,16.27
23,999999,900000,7.25,9.0,1,16.25
24,1199999,1000000,7.71,8.25,1,15.96
25,1399999,1200000,7.67,9.25,1,16.92
26,1599999,1400000,8.15,8.75,1,16.9
27,1899999,1600000,8.12,8.25,1,16.369999999999997
28,2399999,1900000,8.1,8.25,1,16.35
29,3000000,2400000,8.59,7.25,1,15.84
30,199999,0,7.45,11.0,2,18.45
31,299999,200000,7.43,10.0,2,17.43
32,399999,300000,7.42,9.0,2,16.42
33,499999,400000,7.66,9.0,2,16.66
34,599999,500000,7.65,9.0,2,16.65
35,699999,600000,7.63,9.5,2,17.13
36,799999,700000,7.62,9.5,2,17.12
37,899999,800000,7.62,9.5,2,17.12
38,999999,900000,7.61,9.5,2,17.11
39,1199999,1000000,7.58,9.5,2,17.08
40,1399999,1200000,8.06,9.5,2,17.560000000000002
41,1599999,1400000,8.55,9.0,2,17.55
42,1899999,1600000,9.0,8.5,2,17.5
43,2399999,1900000,10.0,8.5,2,18.5
44,3000000,2400000,11.0,8.0,2,19.0
45,199999,0,8.25,12.0,3,20.25
46,299999,200000,8.24,11.0,3,19.240000000000002
47,399999,300000,8.23,10.0,3,18.23
48,499999,400000,8.47,10.0,3,18.47
49,599999,500000,8.47,10.0,3,18.47
50,699999,600000,8.45,10.0,3,18.45
51,799999,700000,8.45,10.0,3,18.45
52,899999,800000,8.43,10.0,3,18.43
53,999999,900000,8.43,10.0,3,18.43
54,1199999,1000000,8.41,10.0,3,18.41
55,1399999,1200000,8.65,10.0,3,18.65
56,1599999,1400000,9.14,10.0,3,19.14
57,1899999,1600000,10.0,9.5,3,19.5
58,2399999,1900000,11.0,9.5,3,20.5
59,3000000,2400000,12.0,9.0,3,21.0
60,199999,0,9.09,14.0,4,23.09
61,299999,200000,9.08,13.0,4,22.08
62,399999,300000,9.07,12.0,4,21.07
63,499999,400000,9.31,12.0,4,21.310000000000002
64,599999,500000,9.31,12.0,4,21.310000000000002
65,699999,600000,9.29,11.0,4,20.29
66,799999,700000,9.29,11.0,4,20.29
67,899999,800000,9.28,11.0,4,20.28
68,999999,900000,9.27,11.0,4,20.27
69,1199999,1000000,9.24,11.0,4,20.240000000000002
70,1399999,1200000,9.5,11.0,4,20.5
71,1599999,1400000,10.5,11.0,4,21.5
72,1899999,1600000,11.0,10.5,4,21.5
73,2399999,1900000,12.0,10.5,4,22.5
74,3000000,2400000,13.0,10.0,4,23.0
75,199999,0,10.3,16.0,5,26.3
76,299999,200000,10.28,15.0,5,25.28
77,399999,300000,10.27,14.0,5,24.27
78,499999,400000,10.5,14.0,5,24.5
79,599999,500000,10.5,14.0,5,24.5
80,699999,600000,10.5,12.0,5,22.5
81,799999,700000,10.5,12.0,5,22.5
82,899999,800000,10.5,12.0,5,22.5
83,999999,900000,10.5,12.0,5,22.5
84,1199999,1000000,10.5,12.0,5,22.5
85,1399999,1200000,10.5,12.0,5,22.5
86,1599999,1400000,11.0,12.0,5,23.0
87,1899999,1600000,12.0,11.5,5,23.5
88,2399999,1900000,13.0,11.5,5,24.5
89,3000000,2400000,14.0,11.0,5,25.0
90,199999,0,12.0,18.0,6,30.0
91,299999,200000,12.0,17.0,6,29.0
92,399999,300000,12.0,16.0,6,28.0
93,499999,400000,13.0,16.0,6,29.0
94,599999,500000,13.0,16.0,6,29.0
95,699999,600000,13.0,13.0,6,26.0
96,799999,700000,13.0,13.0,6,26.0
97,899999,800000,13.0,13.0,6,26.0
98,999999,900000,13.0,13.0,6,26.0
99,1199999,1000000,13.0,13.0,6,26.0
100,1399999,1200000,14.0,13.0,6,27.0
101,1599999,1400000,15.0,13.0,6,28.0
102,1899999,1600000,16.0,12.5,6,28.5
103,2399999,1900000,17.0,12.5,6,29.5
104,3000000,2400000,18.0,12.0,6,30.0
